,Seizure.Date,Cannabis,Cocaine,Heroin,,,
166,6/15/2010,2831.761,658.634,25.862,,,
167,6/16/2010,1382.039,58.654,6.108,,,
168,6/17/2010,1172.707,74.854,53.86189,,,
169,6/18/2010,2697.974,23.509,17.931,,,
170,6/19/2010,267.066,96.524,87.928,,,
171,6/20/2010,202.079,741.508,12.147,,,
172,6/21/2010,91.015,17.547,316.408,,,
173,6/22/2010,671.046,500.649,3.515,,,
174,6/23/2010,840.963,50.264,6.234,,,
175,6/24/2010,431.9914,74.009,18.275,,,
176,6/25/2010,351.349,21.982,29.89468,,,
177,6/26/2010,3270.06,15.041,28.082,,,
178,6/27/2010,147.473,56.328,3.4216,,,
179,6/28/2010,35.339,325.563055,7.155818,,,
180,6/29/2010,986.122,57.492,11.0890589,,,
181,6/30/2010,202.013149,244.044,17.27559,41159,4437,829
182,7/1/2010,347.629,1310.873,17.9220288,,,
183,7/2/2010,63.056546,105.75,24.5048886,,,
184,7/3/2010,952.104,284.298,24.767,,,
185,7/4/2010,1953.541,41.502,4.722,,,
186,7/5/2010,151.038,16.335,10.52,,,
187,7/6/2010,893.018,23.358,3.93615,,,
188,7/7/2010,186.721,22.812,3.626,,,
189,7/8/2010,5180.028514,313.77,4.633,,,
190,7/9/2010,869.215,58.137,6.7585,,,
191,7/10/2010,941.35,265.41,5.2328,,,
192,7/11/2010,171.065,23.817,2.736,,,
193,7/12/2010,62.965,42.776,4.6728,,,
194,7/13/2010,322.912,26.411,13.9934,,,
195,7/14/2010,1518.827697,14.28569,7.69593,,,
196,7/15/2010,711.936272,15.762,2.136073,,,
197,7/16/2010,246.691,107.325,5.0470322,,,
198,7/17/2010,557.33,46.516,1.429,,,
199,7/18/2010,266.01825,23.619,103.70613,,,
200,7/19/2010,1350.893,53.315,6.77037,,,
201,7/20/2010,4126.811,41.398,2.23991,,,
202,7/21/2010,221.04,385.94,21.762024,,,
203,7/22/2010,203.123,5105.71,88.927011,,,
204,7/23/2010,424.919,3258.012,111.361,,,
205,7/24/2010,3967.668,25.59,1.291,,,
206,7/25/2010,46.366,45.689,9.07,,,
207,7/26/2010,1328.345,102.7528,161.45,,,
208,7/27/2010,244.47607,10.428,90.573,,,
209,7/28/2010,655.989,23.005,63.377489,,,
210,7/29/2010,1233.019,34.336,15.22411,,,
211,7/30/2010,562.835,142.295,8.8209415,,,
212,7/31/2010,613.648,8.02,3.4,30375,11979,832
213,8/1/2010,985.464,20.084,2.77293,,,
214,8/2/2010,324.922,791.0917,49.4501426,,,
215,8/3/2010,698.515,25.364,9.611,,,
216,8/4/2010,107.023,33.585,11.9311,,,
217,8/5/2010,1224.462,571.972,6.049103,,,
218,8/6/2010,395.351068,43.903,33.3850906,,,
219,8/7/2010,286.686,142.265,1.351,,,
220,8/8/2010,3182.5671,19.907,28.6170493,,,
221,8/9/2010,709.549,63.028,1.912117,,,
222,8/10/2010,180.322,23.396,9.4596,,,
223,8/11/2010,264.955,18.62933,4.44703,,,
224,8/12/2010,602.474,54.043,10.7268,,,
225,8/13/2010,5512.420046,5.249,91.866,,,
226,8/14/2010,242.069,36.5857,2.425,,,
227,8/15/2010,5166.264,33.325,1.929,,,
228,8/16/2010,1598.935,16.026,3.3786513,,,
229,8/17/2010,410.508,37.2426,33.501265,,,
230,8/18/2010,263.88339,20.6106,24.157449,,,
231,8/19/2010,228.3760765,122.028,3.6772,,,
232,8/20/2010,1063.7995,19.732,17.204,,,
233,8/21/2010,40707.17,18.611,8.7973,,,
234,8/22/2010,174.604,17,6.824,,,
235,8/23/2010,702.411,371.704,8.818,,,
236,8/24/2010,681.9670102,204.8049,3.229343,,,
237,8/25/2010,3715.8572,3311.477,15.3237162,,,
238,8/26/2010,372.93702,50.466,9.954245,,,
239,8/27/2010,557.851,50.883,5.4628,,,
240,8/28/2010,110.584,238.765,0.366,,,
241,8/29/2010,60.772,43.874,1.311,,,
242,8/30/2010,145.747,28.386,4.813,,,
243,8/31/2010,277.871,24.497,6.11,70956,6459,419
244,9/1/2010,1180.275,11.456,11.93743,,,
245,9/2/2010,384.357,95.456,33.115122,,,
246,9/3/2010,2865.892335,101.222,6.0973503,,,
247,9/4/2010,3439.775,301.735,6.612,,,
248,9/5/2010,4045.86,109.919,18.585,,,
249,9/6/2010,374.023,15.936,77.2806644,,,
250,9/7/2010,1498.824,12.141,6.0227189,,,
251,9/8/2010,302.4692,18.882,32.9553291,,,
252,9/9/2010,690.6084,369.95433,7.342048,,,
253,9/10/2010,414.89616,33.736,2.8108,,,
254,9/11/2010,239.0244372,8.792,41.907733,,,
255,9/12/2010,80.846,27.725,3.81449,,,
256,9/13/2010,1290.597,44.743,10.05957,,,
257,9/14/2010,804.106,26.494,14.6181035,,,
258,9/15/2010,989.9820734,38.115,3.503,,,
259,9/16/2010,610.498,320.3825,18.22,,,
260,9/17/2010,586.77859,654.514,15.447,,,
261,9/18/2010,5189.219,1516.872,4.57221,,,
262,9/19/2010,777.603,162.27,2.009,,,
263,9/20/2010,2897.657,144.477,8.551,,,
264,9/21/2010,551.819,26.362,28.222001,,,
265,9/22/2010,384.853,15.473,11.84,,,
266,9/23/2010,1759.721,22.959,21.436089,,,
267,9/24/2010,2624.376,316.543,26.862031,,,
268,9/25/2010,112.22,70.831,25.7399,,,
269,9/26/2010,1136.265,155.964,2.793,,,
270,9/27/2010,370.534,42.35,3.208,,,
271,9/28/2010,1095.762,53.88,16.890721,,,
272,9/29/2010,599.61021,28.777,4.003,,,
273,9/30/2010,774.137,29.991,27.3910225,38073,4778,494
274,10/1/2010,1969.185,15.633,3.675,,,
275,10/2/2010,176.3125,240.9004,1.226,,,
276,10/3/2010,929.736,459.789,8.566,,,
277,10/4/2010,194.715,951.865,27.6824292,,,
278,10/5/2010,738.095,10.105,16.907174,,,
279,10/6/2010,10312.308,33.801,1.8793174,,,
280,10/7/2010,2080.951017,197.616,4.310017,,,
281,10/8/2010,2681.352,108.485,1.420148,,,
282,10/9/2010,1740.809,379.028,13.928,,,
283,10/10/2010,150.461,58.451,6.968,,,
284,10/11/2010,346.200543,29.683,3.084019,,,
285,10/12/2010,93.64,285.591,7.71532,,,
286,10/13/2010,5027.872478,591.572,3.899,,,
287,10/14/2010,491.2734138,13.402,3.5490387,,,
288,10/15/2010,351.805,25.344,6.5126,,,
289,10/16/2010,3402.8622,126.033,5.552,,,
290,10/17/2010,399.422192,70.843,4.8268,,,
291,10/18/2010,3131.212,29.02,5.044,,,
292,10/19/2010,250.434146,152.235,2.872,,,
293,10/20/2010,1243.178,26.272,20.634,,,
294,10/21/2010,73.702,16.147,4.347,,,
295,10/22/2010,4625.942,16.401,15.047,,,
296,10/23/2010,88.544,189.168,1.822,,,
